id,mo_ta_chung,nganh_to,nganh_nho,chu_de,cau_hoi_truoc_mat,to_chuc_cap,to_chuc_loai,to_chuc_ten,do_tuoi,kinh_nghiem_so_nam,kinh_nghiem_cap_bac
NN001,"Công tác tại Bộ Khoa học và Công nghệ với vai trò Trưởng phòng, có 31 năm kinh nghiệm trong mảng An toàn thông tin; đang tập trung vào theo dõi, đôn đốc thực hiện các nhiệm vụ được giao trên địa bàn.",Khoa học - Công nghệ - TT&TT,An toàn thông tin,Khoa học/Công nghệ,Nắm chính sách hỗ trợ doanh nghiệp khởi nghiệp đổi mới sáng tạo.,Trung ương,Bộ,Bộ Khoa học và Công nghệ,58,31,Chuyên viên cao cấp / Lãnh đạo
NN002,"Chuyên viên tại Bộ Tài chính, 5 năm công tác trong lĩnh vực Quản lý tài sản công, hiện phụ trách xây dựng kế hoạch công tác và phối hợp liên ngành.",Tài chính - Ngân sách,Quản lý tài sản công,Kinh tế/Tài chính | Chính trị/Pháp luật,Nắm chính sách thuế mới ban hành áp dụng cho doanh nghiệp và hộ kinh doanh.,Trung ương,Bộ,Bộ Tài chính,31,5,Chuyên viên
NN003,"Công tác tại Sở Ngoại vụ tỉnh Vĩnh Long với vai trò Cán bộ, có 1 năm kinh nghiệm trong mảng Đa phương; đang tập trung vào tiếp nhận, xử lý phản ánh và giải quyết công việc liên quan người dân/đơn vị.",Ngoại giao,Đa phương,Ngoại giao/Quan hệ quốc tế | Kinh tế/Tài chính,"Cập nhật tình hình đàm phán các hiệp định thương mại, đầu tư song phương.",Tỉnh,Sở Ngoại vụ,Sở Ngoại vụ tỉnh Vĩnh Long,26,1,Chuyên viên
NN004,"Phó Giám đốc tại Tòa án nhân dân tỉnh Nghệ An, 30 năm công tác trong lĩnh vực Xây dựng pháp luật, hiện phụ trách theo dõi, đôn đốc thực hiện các nhiệm vụ được giao trên địa bàn.",Tư pháp - Pháp luật,Xây dựng pháp luật,Chính trị/Pháp luật,"Cập nhật các luật, nghị định mới có hiệu lực liên quan lĩnh vực phụ trách.",Tỉnh,Tòa án nhân dân,Tòa án nhân dân tỉnh Nghệ An,54,30,Chuyên viên cao cấp / Lãnh đạo
NN005,"Phó Giám đốc thuộc Sở Y tế tỉnh Lạng Sơn, chuyên trách lĩnh vực Dược - Trang thiết bị y tế với 21 năm kinh nghiệm; công việc hiện tại xoay quanh tiếp nhận, xử lý phản ánh và giải quyết công việc liên quan người dân/đơn vị.",Y tế,Dược - Trang thiết bị y tế,Sức khỏe/Đời sống | Thời sự/Xã hội,Cập nhật chính sách bảo hiểm y tế và mức hưởng mới.,Tỉnh,Sở Y tế,Sở Y tế tỉnh Lạng Sơn,46,21,Chuyên viên cao cấp / Lãnh đạo
NN006,"Chuyên viên cao cấp thuộc Ban Chỉ đạo An ninh mạng quốc gia, chuyên trách lĩnh vực An ninh mạng quốc gia với 32 năm kinh nghiệm; công việc hiện tại xoay quanh theo dõi, đôn đốc thực hiện các nhiệm vụ được giao trên địa bàn.",An ninh - Quốc phòng (hoạch định chính sách),An ninh mạng quốc gia,Quốc phòng/An ninh | Chính trị/Pháp luật,"Theo dõi diễn biến an ninh mạng, các sự cố tấn công mạng quy mô lớn gần đây.",Trung ương,Ban Chỉ đạo,Ban Chỉ đạo An ninh mạng quốc gia,55,32,Chuyên viên cao cấp / Lãnh đạo
NN007,"Chuyên viên thuộc Sở Khoa học và Công nghệ tỉnh Cao Bằng, chuyên trách lĩnh vực Chuyển đổi số với 2 năm kinh nghiệm; công việc hiện tại xoay quanh tổng hợp báo cáo định kỳ và tham mưu chính sách.",Khoa học - Công nghệ - TT&TT,Chuyển đổi số,Khoa học/Công nghệ,"Cập nhật cảnh báo về lỗ hổng bảo mật, sự cố an toàn thông tin.",Tỉnh,Sở KH&CN,Sở Khoa học và Công nghệ tỉnh Cao Bằng,25,2,Chuyên viên
NN008,"Trưởng phòng tại Sở Tư pháp tỉnh Quảng Ngãi, 22 năm công tác trong lĩnh vực Kiểm sát, hiện phụ trách xây dựng kế hoạch công tác và phối hợp liên ngành.",Tư pháp - Pháp luật,Kiểm sát,Chính trị/Pháp luật,Nắm tiến độ thi hành án và các vướng mắc phát sinh trong thực tiễn.,Tỉnh,Sở Tư pháp,Sở Tư pháp tỉnh Quảng Ngãi,44,22,Chuyên viên cao cấp / Lãnh đạo
NN009,"Trưởng nhóm nghiệp vụ tại Bệnh viện Đa khoa tỉnh Khánh Hòa, 15 năm công tác trong lĩnh vực Y tế dự phòng, hiện phụ trách tiếp nhận, xử lý phản ánh và giải quyết công việc liên quan người dân/đơn vị.",Y tế,Y tế dự phòng,Sức khỏe/Đời sống | Thời sự/Xã hội,Cập nhật chính sách bảo hiểm y tế và mức hưởng mới.,Tỉnh,Bệnh viện,Bệnh viện Đa khoa tỉnh Khánh Hòa,38,15,Chuyên viên chính
NN010,"Công tác tại Sở Nông nghiệp và Môi trường tỉnh Cần Thơ với vai trò Phó trưởng phòng, có 16 năm kinh nghiệm trong mảng Môi trường; đang tập trung vào tiếp nhận, xử lý phản ánh và giải quyết công việc liên quan người dân/đơn vị.",Nông nghiệp - Tài nguyên - Môi trường,Môi trường,Môi trường | Kinh tế/Tài chính,"Theo dõi diễn biến thiên tai, thời tiết cực đoan ảnh hưởng sản xuất nông nghiệp.",Tỉnh,Sở Nông nghiệp và Môi trường,Sở Nông nghiệp và Môi trường tỉnh Cần Thơ,44,16,Chuyên viên chính
NN011,"Trưởng nhóm nghiệp vụ thuộc Viện kiểm sát nhân dân tỉnh An Giang, chuyên trách lĩnh vực Xét xử với 13 năm kinh nghiệm; công việc hiện tại xoay quanh tiếp nhận, xử lý phản ánh và giải quyết công việc liên quan người dân/đơn vị.",Tư pháp - Pháp luật,Xét xử,Chính trị/Pháp luật,Theo dõi án lệ và các vụ việc điển hình được dư luận quan tâm.,Tỉnh,Viện kiểm sát nhân dân,Viện kiểm sát nhân dân tỉnh An Giang,38,13,Chuyên viên chính
NN012,"Nhân viên nghiệp vụ tại Bộ Giáo dục và Đào tạo, 2 năm công tác trong lĩnh vực Quản lý nhà giáo, hiện phụ trách tổng hợp báo cáo định kỳ và tham mưu chính sách.",Giáo dục - Đào tạo,Quản lý nhà giáo,Giáo dục | Thời sự/Xã hội,"Cập nhật thông tin tuyển sinh đại học, cao đẳng năm nay.",Trung ương,Bộ,Bộ Giáo dục và Đào tạo,27,2,Chuyên viên
NN013,"Phó Giám đốc tại Lữ đoàn 34 đóng quân tại tỉnh Hà Nội, 28 năm công tác trong lĩnh vực Hậu cần - Kỹ thuật, hiện phụ trách xây dựng kế hoạch công tác và phối hợp liên ngành.",Quân đội,Hậu cần - Kỹ thuật,Quốc phòng/An ninh | Thời sự/Xã hội,Cập nhật chính sách hậu phương quân đội và chế độ đãi ngộ quân nhân.,Đơn vị,Lữ đoàn/Sư đoàn,Lữ đoàn 34 đóng quân tại tỉnh Hà Nội,54,28,Chuyên viên cao cấp / Lãnh đạo
NN014,"Chuyên viên tại Bộ Khoa học và Công nghệ, 8 năm công tác trong lĩnh vực Viễn thông, hiện phụ trách xây dựng kế hoạch công tác và phối hợp liên ngành.",Khoa học - Công nghệ - TT&TT,Viễn thông,Khoa học/Công nghệ,Theo dõi tiến độ triển khai đề án chuyển đổi số của địa phương/đơn vị.,Trung ương,Bộ,Bộ Khoa học và Công nghệ,36,8,Chuyên viên
NN015,"Cán bộ tại Bộ Tài chính, 6 năm công tác trong lĩnh vực Hải quan, hiện phụ trách xây dựng kế hoạch công tác và phối hợp liên ngành.",Tài chính - Ngân sách,Hải quan,Kinh tế/Tài chính | Chính trị/Pháp luật,Cập nhật quy định mới về định mức phân bổ ngân sách và chi thường xuyên.,Trung ương,Bộ,Bộ Tài chính,33,6,Chuyên viên
NN016,"Chuyên viên tại UBND xã Hòa Trí, tỉnh Đồng Nai, 2 năm công tác trong lĩnh vực Nội vụ, hiện phụ trách tiếp nhận, xử lý phản ánh và giải quyết công việc liên quan người dân/đơn vị.",Công chức hành chính nhà nước,Nội vụ,Thời sự/Xã hội | Chính trị/Pháp luật,Cập nhật quy trình một cửa liên thông và chuyển đổi số thủ tục hành chính.,Xã,UBND xã,"UBND xã Hòa Trí, tỉnh Đồng Nai",28,2,Chuyên viên
NN017,"Trưởng nhóm nghiệp vụ tại Bộ Tư lệnh Quân khu 7, 11 năm công tác trong lĩnh vực Không quân, hiện phụ trách theo dõi, đôn đốc thực hiện các nhiệm vụ được giao trên địa bàn.",Quân đội,Không quân,Quốc phòng/An ninh | Thời sự/Xã hội,Cập nhật kế hoạch hợp tác quốc phòng song phương trong năm.,Quân khu,Bộ Tư lệnh,Bộ Tư lệnh Quân khu 7,37,11,Chuyên viên chính
NN018,"Chuyên viên chính thuộc Công an tỉnh Đồng Nai, chuyên trách lĩnh vực An ninh với 12 năm kinh nghiệm; công việc hiện tại xoay quanh xây dựng kế hoạch công tác và phối hợp liên ngành.",Công an / Cảnh sát,An ninh,Quốc phòng/An ninh | Chính trị/Pháp luật,"Cập nhật thủ đoạn tội phạm công nghệ cao, lừa đảo qua mạng để cảnh báo người dân.",Tỉnh,Công an tỉnh,Công an tỉnh Đồng Nai,38,12,Chuyên viên chính
NN019,"Phó trưởng phòng tại Bệnh viện Đa khoa tỉnh Hải Phòng, 16 năm công tác trong lĩnh vực Bảo hiểm y tế, hiện phụ trách theo dõi, đôn đốc thực hiện các nhiệm vụ được giao trên địa bàn.",Y tế,Bảo hiểm y tế,Sức khỏe/Đời sống | Thời sự/Xã hội,Cập nhật chính sách bảo hiểm y tế và mức hưởng mới.,Tỉnh,Bệnh viện,Bệnh viện Đa khoa tỉnh Hải Phòng,43,16,Chuyên viên chính
NN020,"Chuyên viên cao cấp thuộc Cục Thuế tỉnh Điện Biên, chuyên trách lĩnh vực Thuế với 22 năm kinh nghiệm; công việc hiện tại xoay quanh xây dựng kế hoạch công tác và phối hợp liên ngành.",Tài chính - Ngân sách,Thuế,Kinh tế/Tài chính | Chính trị/Pháp luật,"Cập nhật quy trình kê khai, quyết toán thuế điện tử.",Tỉnh,Cục Thuế,Cục Thuế tỉnh Điện Biên,45,22,Chuyên viên cao cấp / Lãnh đạo
NN021,"Phó Giám đốc tại Cục Thuế tỉnh Thanh Hóa, 20 năm công tác trong lĩnh vực Kho bạc Nhà nước, hiện phụ trách tổng hợp báo cáo định kỳ và tham mưu chính sách.",Tài chính - Ngân sách,Kho bạc Nhà nước,Kinh tế/Tài chính | Chính trị/Pháp luật,"Cập nhật quy trình kê khai, quyết toán thuế điện tử.",Tỉnh,Cục Thuế,Cục Thuế tỉnh Thanh Hóa,45,20,Chuyên viên cao cấp / Lãnh đạo
NN022,"Nhân viên nghiệp vụ thuộc Bộ Quốc phòng, chuyên trách lĩnh vực Biên phòng với 8 năm kinh nghiệm; công việc hiện tại xoay quanh xây dựng kế hoạch công tác và phối hợp liên ngành.",Quân đội,Biên phòng,Quốc phòng/An ninh | Thời sự/Xã hội,"Nắm tình hình an ninh biên giới, chủ quyền biển đảo liên quan khu vực đóng quân.",Trung ương,Bộ,Bộ Quốc phòng,35,8,Chuyên viên
NN023,"Công tác tại Ngân hàng Nhà nước Việt Nam với vai trò Chuyên viên, có 5 năm kinh nghiệm trong mảng Chính sách tiền tệ; đang tập trung vào tổng hợp báo cáo định kỳ và tham mưu chính sách.",Ngân hàng - Tiền tệ,Chính sách tiền tệ,Kinh tế/Tài chính,Cập nhật biến động tỷ giá và chính sách quản lý ngoại hối.,Trung ương,Ngân hàng Nhà nước,Ngân hàng Nhà nước Việt Nam,32,5,Chuyên viên
NN024,"Chuyên viên chính tại Sở Nông nghiệp và Môi trường tỉnh Quảng Ninh, 18 năm công tác trong lĩnh vực Tài nguyên nước - Khí tượng, hiện phụ trách theo dõi, đôn đốc thực hiện các nhiệm vụ được giao trên địa bàn.",Nông nghiệp - Tài nguyên - Môi trường,Tài nguyên nước - Khí tượng,Môi trường | Kinh tế/Tài chính,"Cập nhật quy định mới về quản lý, cấp phép sử dụng đất đai.",Tỉnh,Sở Nông nghiệp và Môi trường,Sở Nông nghiệp và Môi trường tỉnh Quảng Ninh,44,18,Chuyên viên chính
NN025,"Công tác tại Ngân hàng Nhà nước Việt Nam với vai trò Cán bộ, có 3 năm kinh nghiệm trong mảng Quản lý ngoại hối; đang tập trung vào tổng hợp báo cáo định kỳ và tham mưu chính sách.",Ngân hàng - Tiền tệ,Quản lý ngoại hối,Kinh tế/Tài chính,Cập nhật biến động tỷ giá và chính sách quản lý ngoại hối.,Trung ương,Ngân hàng Nhà nước,Ngân hàng Nhà nước Việt Nam,27,3,Chuyên viên
NN026,"Cán bộ thuộc Cục Chiến lược - Bộ Quốc phòng, chuyên trách lĩnh vực Công nghiệp quốc phòng với 3 năm kinh nghiệm; công việc hiện tại xoay quanh tổng hợp báo cáo định kỳ và tham mưu chính sách.",An ninh - Quốc phòng (hoạch định chính sách),Công nghiệp quốc phòng,Quốc phòng/An ninh | Chính trị/Pháp luật,"Cập nhật chủ trương, chiến lược quốc phòng mới được ban hành.",Trung ương,Cục/Vụ,Cục Chiến lược - Bộ Quốc phòng,31,3,Chuyên viên
NN027,"Trưởng nhóm nghiệp vụ thuộc Bộ Ngoại giao, chuyên trách lĩnh vực Kinh tế đối ngoại với 16 năm kinh nghiệm; công việc hiện tại xoay quanh tổng hợp báo cáo định kỳ và tham mưu chính sách.",Ngoại giao,Kinh tế đối ngoại,Ngoại giao/Quan hệ quốc tế | Kinh tế/Tài chính,Cập nhật diễn biến quan hệ song phương với các đối tác chiến lược.,Trung ương,Bộ,Bộ Ngoại giao,42,16,Chuyên viên chính
NN028,"Nhân viên nghiệp vụ thuộc Sở Tài chính tỉnh Đắk Lắk, chuyên trách lĩnh vực Ngân sách nhà nước với 1 năm kinh nghiệm; công việc hiện tại xoay quanh xây dựng kế hoạch công tác và phối hợp liên ngành.",Tài chính - Ngân sách,Ngân sách nhà nước,Kinh tế/Tài chính | Chính trị/Pháp luật,Cập nhật quy định mới về định mức phân bổ ngân sách và chi thường xuyên.,Tỉnh,Sở,Sở Tài chính tỉnh Đắk Lắk,28,1,Chuyên viên
NN029,"Nhân viên nghiệp vụ tại Sở Ngoại vụ tỉnh Sơn La, 7 năm công tác trong lĩnh vực Công tác người Việt Nam ở nước ngoài, hiện phụ trách tổng hợp báo cáo định kỳ và tham mưu chính sách.",Ngoại giao,Công tác người Việt Nam ở nước ngoài,Ngoại giao/Quan hệ quốc tế | Kinh tế/Tài chính,"Theo dõi lịch trình các hội nghị, diễn đàn đa phương sắp diễn ra.",Tỉnh,Sở Ngoại vụ,Sở Ngoại vụ tỉnh Sơn La,29,7,Chuyên viên
NN030,"Công tác tại UBND xã Đồng Hỷ, tỉnh Đắk Lắk với vai trò Chuyên viên chính, có 15 năm kinh nghiệm trong mảng Quản lý công vụ; đang tập trung vào tiếp nhận, xử lý phản ánh và giải quyết công việc liên quan người dân/đơn vị.",Công chức hành chính nhà nước,Quản lý công vụ,Thời sự/Xã hội | Chính trị/Pháp luật,Cập nhật quy trình một cửa liên thông và chuyển đổi số thủ tục hành chính.,Xã,UBND xã,"UBND xã Đồng Hỷ, tỉnh Đắk Lắk",43,15,Chuyên viên chính
