id,mo_ta_chung,nganh_to,nganh_nho,chu_de,cau_hoi_truoc_mat,to_chuc_cap,to_chuc_loai,to_chuc_ten,do_tuoi,kinh_nghiem_so_nam,kinh_nghiem_cap_bac
NN031,"Trưởng phòng thuộc Sở Ngoại vụ tỉnh Hà Nội, chuyên trách lĩnh vực Công tác người Việt Nam ở nước ngoài với 21 năm kinh nghiệm; công việc hiện tại xoay quanh tiếp nhận, xử lý phản ánh và giải quyết công việc liên quan người dân/đơn vị.",Ngoại giao,Công tác người Việt Nam ở nước ngoài,Ngoại giao/Quan hệ quốc tế | Kinh tế/Tài chính,"Theo dõi lịch trình các hội nghị, diễn đàn đa phương sắp diễn ra.",Tỉnh,Sở Ngoại vụ,Sở Ngoại vụ tỉnh Hà Nội,43,21,Chuyên viên cao cấp / Lãnh đạo
NN032,"Công tác tại Bộ Y tế với vai trò Trưởng nhóm nghiệp vụ, có 16 năm kinh nghiệm trong mảng Khám chữa bệnh; đang tập trung vào tổng hợp báo cáo định kỳ và tham mưu chính sách.",Y tế,Khám chữa bệnh,Sức khỏe/Đời sống | Thời sự/Xã hội,Theo dõi tình hình nhân lực và cơ sở vật chất y tế tuyến cơ sở.,Trung ương,Bộ,Bộ Y tế,41,16,Chuyên viên chính
NN033,"Công tác tại Sở Nội vụ tỉnh Lai Châu với vai trò Cán bộ, có 3 năm kinh nghiệm trong mảng Cải cách hành chính; đang tập trung vào tổng hợp báo cáo định kỳ và tham mưu chính sách.",Công chức hành chính nhà nước,Cải cách hành chính,Thời sự/Xã hội | Chính trị/Pháp luật,Cập nhật quy định mới về sắp xếp tổ chức bộ máy và tinh giản biên chế.,Tỉnh,Sở,Sở Nội vụ tỉnh Lai Châu,30,3,Chuyên viên
NN034,"Công tác tại Bộ Nội vụ với vai trò Phó trưởng phòng, có 11 năm kinh nghiệm trong mảng Quản lý công vụ; đang tập trung vào xây dựng kế hoạch công tác và phối hợp liên ngành.",Công chức hành chính nhà nước,Quản lý công vụ,Thời sự/Xã hội | Chính trị/Pháp luật,Theo dõi tiến độ triển khai mô hình chính quyền địa phương 2 cấp.,Trung ương,Bộ,Bộ Nội vụ,38,11,Chuyên viên chính
NN035,"Công tác tại Sở Khoa học và Công nghệ tỉnh Quảng Ninh với vai trò Phó Giám đốc, có 22 năm kinh nghiệm trong mảng An toàn thông tin; đang tập trung vào xây dựng kế hoạch công tác và phối hợp liên ngành.",Khoa học - Công nghệ - TT&TT,An toàn thông tin,Khoa học/Công nghệ,Nắm chính sách hỗ trợ doanh nghiệp khởi nghiệp đổi mới sáng tạo.,Tỉnh,Sở KH&CN,Sở Khoa học và Công nghệ tỉnh Quảng Ninh,50,22,Chuyên viên cao cấp / Lãnh đạo
NN036,"Cán bộ thuộc Lữ đoàn 77 đóng quân tại tỉnh Lào Cai, chuyên trách lĩnh vực Biên phòng với 5 năm kinh nghiệm; công việc hiện tại xoay quanh tiếp nhận, xử lý phản ánh và giải quyết công việc liên quan người dân/đơn vị.",Quân đội,Biên phòng,Quốc phòng/An ninh | Thời sự/Xã hội,"Nắm tình hình an ninh biên giới, chủ quyền biển đảo liên quan khu vực đóng quân.",Đơn vị,Lữ đoàn/Sư đoàn,Lữ đoàn 77 đóng quân tại tỉnh Lào Cai,30,5,Chuyên viên
NN037,"Trưởng phòng thuộc Sở Nông nghiệp và Môi trường tỉnh Huế, chuyên trách lĩnh vực Tài nguyên nước - Khí tượng với 26 năm kinh nghiệm; công việc hiện tại xoay quanh xây dựng kế hoạch công tác và phối hợp liên ngành.",Nông nghiệp - Tài nguyên - Môi trường,Tài nguyên nước - Khí tượng,Môi trường | Kinh tế/Tài chính,Nắm tình hình xuất khẩu nông sản và các rào cản kỹ thuật thị trường.,Tỉnh,Sở Nông nghiệp và Môi trường,Sở Nông nghiệp và Môi trường tỉnh Huế,53,26,Chuyên viên cao cấp / Lãnh đạo
NN038,"Chuyên viên chính thuộc Bộ Nội vụ, chuyên trách lĩnh vực Nội vụ với 18 năm kinh nghiệm; công việc hiện tại xoay quanh theo dõi, đôn đốc thực hiện các nhiệm vụ được giao trên địa bàn.",Công chức hành chính nhà nước,Nội vụ,Thời sự/Xã hội | Chính trị/Pháp luật,Cập nhật quy định mới về sắp xếp tổ chức bộ máy và tinh giản biên chế.,Trung ương,Bộ,Bộ Nội vụ,41,18,Chuyên viên chính
NN039,"Trưởng phòng tại Học viện Quốc phòng, 22 năm công tác trong lĩnh vực Chiến lược quốc phòng, hiện phụ trách theo dõi, đôn đốc thực hiện các nhiệm vụ được giao trên địa bàn.",An ninh - Quốc phòng (hoạch định chính sách),Chiến lược quốc phòng,Quốc phòng/An ninh | Chính trị/Pháp luật,"Cập nhật chủ trương, chiến lược quốc phòng mới được ban hành.",Trung ương,Học viện,Học viện Quốc phòng,50,22,Chuyên viên cao cấp / Lãnh đạo
NN040,"Công tác tại Sở Nông nghiệp và Môi trường tỉnh Đắk Lắk với vai trò Phó Giám đốc, có 24 năm kinh nghiệm trong mảng Môi trường; đang tập trung vào theo dõi, đôn đốc thực hiện các nhiệm vụ được giao trên địa bàn.",Nông nghiệp - Tài nguyên - Môi trường,Môi trường,Môi trường | Kinh tế/Tài chính,"Cập nhật quy định mới về quản lý, cấp phép sử dụng đất đai.",Tỉnh,Sở Nông nghiệp và Môi trường,Sở Nông nghiệp và Môi trường tỉnh Đắk Lắk,51,24,Chuyên viên cao cấp / Lãnh đạo
NN041,"Trưởng nhóm nghiệp vụ thuộc Bộ Ngoại giao, chuyên trách lĩnh vực Song phương với 12 năm kinh nghiệm; công việc hiện tại xoay quanh tổng hợp báo cáo định kỳ và tham mưu chính sách.",Ngoại giao,Song phương,Ngoại giao/Quan hệ quốc tế | Kinh tế/Tài chính,"Theo dõi lịch trình các hội nghị, diễn đàn đa phương sắp diễn ra.",Trung ương,Bộ,Bộ Ngoại giao,34,12,Chuyên viên chính
NN042,"Chuyên viên chính tại Công an xã Ea Ô, tỉnh Tây Ninh, 15 năm công tác trong lĩnh vực Phòng cháy chữa cháy, hiện phụ trách tổng hợp báo cáo định kỳ và tham mưu chính sách.",Công an / Cảnh sát,Phòng cháy chữa cháy,Quốc phòng/An ninh | Chính trị/Pháp luật,Theo dõi tình hình trật tự an toàn giao thông và tai nạn giao thông trên địa bàn.,Xã,Công an xã,"Công an xã Ea Ô, tỉnh Tây Ninh",41,15,Chuyên viên chính
NN043,"Công tác tại Trường THPT Lý Thường Kiệt, tỉnh Nghệ An với vai trò Phó trưởng phòng, có 19 năm kinh nghiệm trong mảng Giáo dục đại học; đang tập trung vào xây dựng kế hoạch công tác và phối hợp liên ngành.",Giáo dục - Đào tạo,Giáo dục đại học,Giáo dục | Thời sự/Xã hội,"Cập nhật lịch thi, quy chế tuyển sinh và kỳ thi tốt nghiệp thpt.",Trường,Trường học,"Trường THPT Lý Thường Kiệt, tỉnh Nghệ An",42,19,Chuyên viên chính
NN044,"Chuyên viên cao cấp thuộc Sở Thông tin và Truyền thông tỉnh Khánh Hòa, chuyên trách lĩnh vực Viễn thông với 20 năm kinh nghiệm; công việc hiện tại xoay quanh tổng hợp báo cáo định kỳ và tham mưu chính sách.",Khoa học - Công nghệ - TT&TT,Viễn thông,Khoa học/Công nghệ,Theo dõi tiến độ triển khai đề án chuyển đổi số của địa phương/đơn vị.,Tỉnh,Sở TT&TT,Sở Thông tin và Truyền thông tỉnh Khánh Hòa,48,20,Chuyên viên cao cấp / Lãnh đạo
NN045,"Nhân viên nghiệp vụ tại Bộ Chỉ huy Quân sự tỉnh Ninh Bình, 5 năm công tác trong lĩnh vực Hậu cần - Kỹ thuật, hiện phụ trách xây dựng kế hoạch công tác và phối hợp liên ngành.",Quân đội,Hậu cần - Kỹ thuật,Quốc phòng/An ninh | Thời sự/Xã hội,Cập nhật kế hoạch hợp tác quốc phòng song phương trong năm.,Tỉnh,Bộ Chỉ huy quân sự,Bộ Chỉ huy Quân sự tỉnh Ninh Bình,28,5,Chuyên viên
NN046,"Chuyên viên cao cấp thuộc Học viện Quốc phòng, chuyên trách lĩnh vực An ninh mạng quốc gia với 27 năm kinh nghiệm; công việc hiện tại xoay quanh tổng hợp báo cáo định kỳ và tham mưu chính sách.",An ninh - Quốc phòng (hoạch định chính sách),An ninh mạng quốc gia,Quốc phòng/An ninh | Chính trị/Pháp luật,"Theo dõi các báo cáo, phân tích tình hình an ninh khu vực và thế giới liên quan lĩnh vực phụ trách.",Trung ương,Học viện,Học viện Quốc phòng,52,27,Chuyên viên cao cấp / Lãnh đạo
NN047,"Chuyên viên cao cấp thuộc Tòa án nhân dân tỉnh Thanh Hóa, chuyên trách lĩnh vực Xây dựng pháp luật với 28 năm kinh nghiệm; công việc hiện tại xoay quanh xây dựng kế hoạch công tác và phối hợp liên ngành.",Tư pháp - Pháp luật,Xây dựng pháp luật,Chính trị/Pháp luật,Nắm tiến độ thi hành án và các vướng mắc phát sinh trong thực tiễn.,Tỉnh,Tòa án nhân dân,Tòa án nhân dân tỉnh Thanh Hóa,50,28,Chuyên viên cao cấp / Lãnh đạo
NN048,"Chuyên viên cao cấp thuộc Ngân hàng Nhà nước Việt Nam, chuyên trách lĩnh vực Giám sát ngân hàng với 23 năm kinh nghiệm; công việc hiện tại xoay quanh tiếp nhận, xử lý phản ánh và giải quyết công việc liên quan người dân/đơn vị.",Ngân hàng - Tiền tệ,Giám sát ngân hàng,Kinh tế/Tài chính,Cập nhật biến động tỷ giá và chính sách quản lý ngoại hối.,Trung ương,Ngân hàng Nhà nước,Ngân hàng Nhà nước Việt Nam,51,23,Chuyên viên cao cấp / Lãnh đạo
NN049,"Công tác tại Bộ Tư pháp với vai trò Chuyên viên cao cấp, có 28 năm kinh nghiệm trong mảng Xét xử; đang tập trung vào xây dựng kế hoạch công tác và phối hợp liên ngành.",Tư pháp - Pháp luật,Xét xử,Chính trị/Pháp luật,"Cập nhật các luật, nghị định mới có hiệu lực liên quan lĩnh vực phụ trách.",Trung ương,Bộ,Bộ Tư pháp,52,28,Chuyên viên cao cấp / Lãnh đạo
NN050,"Trưởng nhóm nghiệp vụ thuộc Bộ Giáo dục và Đào tạo, chuyên trách lĩnh vực Giáo dục đại học với 15 năm kinh nghiệm; công việc hiện tại xoay quanh theo dõi, đôn đốc thực hiện các nhiệm vụ được giao trên địa bàn.",Giáo dục - Đào tạo,Giáo dục đại học,Giáo dục | Thời sự/Xã hội,Theo dõi chính sách đổi mới chương trình giáo dục phổ thông.,Trung ương,Bộ,Bộ Giáo dục và Đào tạo,40,15,Chuyên viên chính
NN051,"Trưởng phòng thuộc Học viện Quốc phòng, chuyên trách lĩnh vực Công nghiệp quốc phòng với 27 năm kinh nghiệm; công việc hiện tại xoay quanh tổng hợp báo cáo định kỳ và tham mưu chính sách.",An ninh - Quốc phòng (hoạch định chính sách),Công nghiệp quốc phòng,Quốc phòng/An ninh | Chính trị/Pháp luật,"Theo dõi diễn biến an ninh mạng, các sự cố tấn công mạng quy mô lớn gần đây.",Trung ương,Học viện,Học viện Quốc phòng,50,27,Chuyên viên cao cấp / Lãnh đạo
NN052,"Trưởng nhóm nghiệp vụ thuộc Ngân hàng Nhà nước Việt Nam, chuyên trách lĩnh vực Thanh toán với 17 năm kinh nghiệm; công việc hiện tại xoay quanh tiếp nhận, xử lý phản ánh và giải quyết công việc liên quan người dân/đơn vị.",Ngân hàng - Tiền tệ,Thanh toán,Kinh tế/Tài chính,Theo dõi lộ trình triển khai các quy định mới về thanh toán không dùng tiền mặt.,Trung ương,Ngân hàng Nhà nước,Ngân hàng Nhà nước Việt Nam,40,17,Chuyên viên chính
NN053,"Công tác tại Sở Nông nghiệp và Môi trường tỉnh Đồng Nai với vai trò Trưởng nhóm nghiệp vụ, có 15 năm kinh nghiệm trong mảng Tài nguyên nước - Khí tượng; đang tập trung vào theo dõi, đôn đốc thực hiện các nhiệm vụ được giao trên địa bàn.",Nông nghiệp - Tài nguyên - Môi trường,Tài nguyên nước - Khí tượng,Môi trường | Kinh tế/Tài chính,"Theo dõi diễn biến thiên tai, thời tiết cực đoan ảnh hưởng sản xuất nông nghiệp.",Tỉnh,Sở Nông nghiệp và Môi trường,Sở Nông nghiệp và Môi trường tỉnh Đồng Nai,37,15,Chuyên viên chính
NN054,"Phó trưởng phòng thuộc Công an xã Hoàng Văn Thụ, tỉnh Đồng Tháp, chuyên trách lĩnh vực Cảnh sát điều tra với 13 năm kinh nghiệm; công việc hiện tại xoay quanh tiếp nhận, xử lý phản ánh và giải quyết công việc liên quan người dân/đơn vị.",Công an / Cảnh sát,Cảnh sát điều tra,Quốc phòng/An ninh | Chính trị/Pháp luật,"Nắm diễn biến an ninh trật tự dịp cao điểm, lễ hội trên địa bàn quản lý.",Xã,Công an xã,"Công an xã Hoàng Văn Thụ, tỉnh Đồng Tháp",40,13,Chuyên viên chính
NN055,"Cán bộ thuộc Bộ Công an, chuyên trách lĩnh vực Quản lý xuất nhập cảnh với 6 năm kinh nghiệm; công việc hiện tại xoay quanh tổng hợp báo cáo định kỳ và tham mưu chính sách.",Công an / Cảnh sát,Quản lý xuất nhập cảnh,Quốc phòng/An ninh | Chính trị/Pháp luật,"Cập nhật thủ đoạn tội phạm công nghệ cao, lừa đảo qua mạng để cảnh báo người dân.",Trung ương,Bộ,Bộ Công an,33,6,Chuyên viên
NN056,"Phó Giám đốc tại Công an tỉnh Hải Phòng, 24 năm công tác trong lĩnh vực Cảnh sát điều tra, hiện phụ trách theo dõi, đôn đốc thực hiện các nhiệm vụ được giao trên địa bàn.",Công an / Cảnh sát,Cảnh sát điều tra,Quốc phòng/An ninh | Chính trị/Pháp luật,"Cập nhật thủ đoạn tội phạm công nghệ cao, lừa đảo qua mạng để cảnh báo người dân.",Tỉnh,Công an tỉnh,Công an tỉnh Hải Phòng,52,24,Chuyên viên cao cấp / Lãnh đạo
NN057,"Công tác tại Sở Y tế tỉnh Sơn La với vai trò Chuyên viên cao cấp, có 29 năm kinh nghiệm trong mảng Khám chữa bệnh; đang tập trung vào tiếp nhận, xử lý phản ánh và giải quyết công việc liên quan người dân/đơn vị.",Y tế,Khám chữa bệnh,Sức khỏe/Đời sống | Thời sự/Xã hội,"Nắm quy định mới về quản lý dược phẩm, trang thiết bị y tế.",Tỉnh,Sở Y tế,Sở Y tế tỉnh Sơn La,52,29,Chuyên viên cao cấp / Lãnh đạo
NN058,"Cán bộ thuộc Sở Giáo dục và Đào tạo tỉnh Khánh Hòa, chuyên trách lĩnh vực Giáo dục nghề nghiệp với 2 năm kinh nghiệm; công việc hiện tại xoay quanh tiếp nhận, xử lý phản ánh và giải quyết công việc liên quan người dân/đơn vị.",Giáo dục - Đào tạo,Giáo dục nghề nghiệp,Giáo dục | Thời sự/Xã hội,Theo dõi chính sách đổi mới chương trình giáo dục phổ thông.,Tỉnh,Sở GD&ĐT,Sở Giáo dục và Đào tạo tỉnh Khánh Hòa,27,2,Chuyên viên
NN059,"Chuyên viên chính thuộc Ngân hàng Nhà nước Việt Nam, chuyên trách lĩnh vực Giám sát ngân hàng với 12 năm kinh nghiệm; công việc hiện tại xoay quanh theo dõi, đôn đốc thực hiện các nhiệm vụ được giao trên địa bàn.",Ngân hàng - Tiền tệ,Giám sát ngân hàng,Kinh tế/Tài chính,Nắm tình hình nợ xấu và các biện pháp giám sát an toàn hệ thống ngân hàng.,Trung ương,Ngân hàng Nhà nước,Ngân hàng Nhà nước Việt Nam,37,12,Chuyên viên chính
NN060,"Công tác tại Sở Giáo dục và Đào tạo tỉnh Thành phố Hồ Chí Minh với vai trò Nhân viên nghiệp vụ, có 2 năm kinh nghiệm trong mảng Giáo dục phổ thông; đang tập trung vào tiếp nhận, xử lý phản ánh và giải quyết công việc liên quan người dân/đơn vị.",Giáo dục - Đào tạo,Giáo dục phổ thông,Giáo dục | Thời sự/Xã hội,"Cập nhật lịch thi, quy chế tuyển sinh và kỳ thi tốt nghiệp thpt.",Tỉnh,Sở GD&ĐT,Sở Giáo dục và Đào tạo tỉnh Thành phố Hồ Chí Minh,30,2,Chuyên viên
